system:index,LAI,date,.geo
2010_01_01,0.1757022854033541,2010-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_05,0.27741945540289586,2010-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_09,0.24312316574316883,2010-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_13,0.3588889927592888,2010-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_17,0.2977063999274866,2010-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_21,0.2882140145720795,2010-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_25,0.41375961745476353,2010-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_29,0.46969113664434886,2010-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_02,0.5378041042027841,2010-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_06,0.4926213300699166,2010-02-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_10,0.5648414748841343,2010-02-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_14,0.6770735315791282,2010-02-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_18,0.7573729976078931,2010-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_22,0.6909162538120537,2010-02-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_26,0.7228971340143053,2010-02-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_02,0.6703422064008503,2010-03-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_06,0.7104678483567062,2010-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_10,0.6504659494144435,2010-03-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_14,0.6016240207693272,2010-03-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_18,0.5832741449091327,2010-03-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_22,0.46208903488385233,2010-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_26,0.3967196481004869,2010-03-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_30,0.3380317038330244,2010-03-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_03,0.3198745564410936,2010-04-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_07,0.29324019068781054,2010-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_11,0.30021908692053484,2010-04-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_15,0.26818038817780687,2010-04-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_19,0.22657371297062662,2010-04-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_23,0.26399903068917385,2010-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_27,0.2667852324645415,2010-04-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_05_01,0.2855951058305983,2010-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_05_05,0.27748052875621776,2010-05-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_05_09,0.2913161653836969,2010-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_05_13,0.2872382577346436,2010-05-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_05_17,0.2863687122337213,2010-05-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_05_21,0.28537063384992056,2010-05-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_05_25,0.22665378031221986,2010-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_05_29,0.27972113891187633,2010-05-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_06_02,0.21665939211173613,2010-06-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_06_06,0.30554632852267843,2010-06-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_06_10,0.2993148219529031,2010-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_06_14,0.31549480199983776,2010-06-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_06_18,0.33059989569988374,2010-06-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_06_22,0.23345567812078502,2010-06-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_06_26,0.2925375820513126,2010-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_06_30,0.307011773442013,2010-06-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_07_04,0.38932780278209345,2010-07-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_07_08,0.4784664198986464,2010-07-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_07_12,0.48002723706735073,2010-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_07_16,0.5513080027662159,2010-07-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_07_20,0.428972757264165,2010-07-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_07_24,0.49926111306358373,2010-07-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_07_28,0.4930600745972563,2010-07-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_08_01,0.41653284319838396,2010-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_08_05,0.8905092566349533,2010-08-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_08_09,0.8443271225639639,2010-08-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_08_13,0.7282996247463311,2010-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_08_17,0.5310440214495431,2010-08-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_08_21,0.7227194270295939,2010-08-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_08_25,0.6479552359790034,2010-08-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_08_29,0.9473274513360556,2010-08-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_09_02,0.52843850261317,2010-09-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_09_06,0.6712228054462739,2010-09-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_09_10,0.9766876495062674,2010-09-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_09_14,1.013963035813476,2010-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_09_18,0.34294571292528353,2010-09-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
